,Tweet
1764, لدي عاملة منزلية واصله للمملكة قبل اسبوع اريد تسجيلها في توكلنا ولكن باقي ما طلعت اقامة هل استطيع                         
1765,               ممكن ترد خاص
1766,                                                              شكرا جزيلا لاهتمامكم
1767,                شكرا على اهتمامك
1768,                  هل مازال تحليل     مطلوب لدخول المقيمين المحصنين الى داخل المملكه
1769,                                                 هل العماله القادمه من اوغندا لهم حجر مؤسسي؟
1770,                                         بعد ١٤ يوم يظهر لك بدل عدد الايام عليك إجراء فحص كورونا وي                         
1771,                                              مرحبا بك عزيزي ، الزائر للمملكة العربية السعودية يمكنه الآن الحصول على لقاح ك 
1772, تم تصعيد بيانات اللقاح كما وردنا من وزارة الصحة لكن إلى الآن لم تتغير الحالة في توكلنا مالعمل ؟؟
1773,                                                     الف شكر
1774,                                            والله لسا ماكملت اسبوعين من يوم صارت حالتي مستثنى وباقي                         
1775, اشكركم لكم سرعة تجاوبكم
1776,                                                                             
1777,                                                    هل هذه المراكز تعطي فايزر ام استرازنيكا لحملة تأشيرات الزيارة؟
1778,               عندي تأشيرة زيارة عائلية من لزوجتي من اليمن هل لازم يتطلب حجر مؤسسي ام الإكتفاء بالح                         
1779,                                          اذا بالرياض في مركز صحي حي الندوة مركز صحي حي بدر مركز صح                         
1780," تواصلت معكم في الخاص وبانتظار ردكم 
شاكر ومقدر لكم"
1781," شكرا لتواصلك
عندي نقطه اخرى
تسجيلي في بوابه التطعيمات
يندرج تحت اي مسمى زائر محصن؟ام ماذا
لان ليس                         "
1782,                                          للاسف راسلت           ولايوجد تجاوب حيث وجهت من قبل خدمة العملاء ٩٣٧
1783,                انا مثلك بكون خارج المملكة وش الحل
1784,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1785,                                     وش صار معك انا نفس الشي هل بعد المدة يطلع لك العداد من جديد والا كيف
1786,                                           اذا ممكن تفيديني انا مثل حالتك لم تثبت اصابته ولاسباب صح                         
1787," السلام عليكم
انا معي تأشيره عمل جديده 
واخذت جرعتين من لقاح استرازينيكا في مصر
ومعي شهاده الباركود                         "
1788,                   مع تخفيف الاجراءات الاحترازية؛ هل نقدر ان جماعة  لا للتطعيم الاجباري كسبوا التحدي ضدنا، والا راح                         
1789, بحجز لزوجتي موعد لقاح كوفيد ١٩ يظهر لي لايمكنك حجز موعد لوجود موعد سابق  ومافيه موعد سابق مالحل
1790,"السلام عليكم، عندي عاملة منزلية بجواز سفر حتى الان ولم أصدر لها اقامة لانها في فترة التجربة 
فعلت لها حساب في توكلن                         "
1791,   تجيني رساله لا نستطيع جلب البيانات من وزارة الصحة ،؟
1792, يا اخوان عندي خادمة اوغندية تبي تسافر   بغيت احجز لها موعد لقاح اكثر من مره لكن يطلع لي  تعذر اتما                         
1793, السلام عليكم ، من امس احاول احجز الجرعه الثانيه يقولي خطا حاول مرة اخرى
1794,                                                   ?
1795," 

السلام عليكم 
عند محاولة حجز موعد الجرعه الثاني بتوكلنا يجيني مكتوب لا يمكنك حجز موعد لأنه يوجد                         "
1796, تم التواصل مع وزارة الصحة فعلا وطلبو التواصل معكم وتواصلت وفتحت بلاغ متذ اكثر من ٢١ يوم ولايوجد جديد 😊
1797,                انا الحين حجزت فحص كورونا وللعلم انا البارحه وصلت الرياض قولي ايش اسوي الحين                        
1798," السلام عليكم
ارغب الذهاب للحرم اليوم
هل يلزم اخذ تصريح علماً اني محصن جرعتين"
1799, لو سمحت لي يومين داخل المملكه وقمت باجراء مسحه وظهرت نتيجتها سلبيه والي الان لم تتغير  الحاله من حجر منزلي
1800,                          للأسف احنا جايين زوار للمدينة المنورة فقط   أيام ، انصدمنا إن تطبيق اعتمر                         
1801, السلام عليكم سجلت مستخدم جديد بتاريخ أمس زائر محصن و الحالة محصن جرعتين و لكن عند التسجيل بتطبيق ا                         
1802, ردو خاص ضروري
1803, مسموح الدخول مادون ١٨ للحرم المكي؟
1804,                ممكن احد يرد علي خاص
1805,                                                 هل يشترط في الجرعة الثانية اتمام ١٤ يوم للاعفاء من                         
1806,"
السلام عليكم ورحمة الله وبركاته
انا زوجتي استقدام ومحصنة جرعتين في مصر ومعاها الشهادة وتم رفعها عل                         "
1807,                     
1808," السلام عليكم ورحمة الله

بخصوص المقيم القادم من الأردن وقد تلقى جرعة أولى داخل المملكة هل عليه حجر مؤسسي؟"
1809,            الله يستر مشكله والله    اتمنى انه خطأ فقط والا اذا بيطلع للطفل حجر مشكله الله يعين
1810,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1811, ايش سويتوا فى البلاغ فقط ادتوني رقم بلاغ ولا سويتوا اي شيئ صار ليكم أكثر من    ايام ما ادري ليش ال                         
1812, تم الارسال ارجو التواصل
1813,                شكرا
1814, شكرا لك ماعندها توكلنا عاملة جديدة من الفلبين اول مره تدخل المملكة لكن اخذت الجرعتين في بلدها
1815,"                    مركز   ٩٣٧   في خدمتك فضلا التواصل عن طريق الرسائل الخاصة لإفادتك 
                       "
1816,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1817," 
السلام عليكم خادمة جديدة راح توصلني من الفلبين الاسبوع الجاي اخذت جرعتين موديرنا هل يحتاج لها حجر مؤسسي؟ او يكتفي بال    "
1818,              الرجاء الرد
1819,                        وزارة الصحة قامت بالرفع لكم بتغيير الحالة بناءا على البي سي الرجاء النظر في                         
1820,"                 يبدو ما فهمتي تغريدتي 😏

مخلّص الجرعتين من   شهور وقاعد أنتقد اللي رافضين تلقي اللقاح، وشغلكم هذا                         "
1821,"                وزارة الصحه رفعت طلب بس للحين مافي اي شي وعندي رقم الطلب

عزيزي المستفيد، 

يسعدنا                         "
1822,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1823,                        الرجاء الرد للضرورة ، عندي رحلة بعد ساعتين اذا لم يتم تحديث الحالة راح يكون                         
1824,"             هذا الي صار لنا  رغم اننا مادخلنا البحرين ع طول لفينا  من جوازاتهم ورجعنا سوينا فحص
لم                         "
1825,             اذا انت سعودي وبترجع من الكويت ع طول بيقلب حجر منزلي للطفل
1826,          صاير معي نفس الشي ماقدرت احجز لها    انحلت المشكلة عندك ولا لا؟
1827, بقيت اسجل زوجتي بتطببق توكلنا وطلب مني تحديث الجوال ودخلت على ابشر وكتبت رقم الجوال وظهرت رسالة تق                         
1828,            تمام لكن انا جاي من الكويت الحين ومباشره بدخل البحرين    واخاف يجي حجر منزلي للطفل   
1829,                اشكركم على ردكم الكريم  هل الموقع الرسمي لاعتماد اللقاح بالوزارة مرتبط بالجوازات  و                         
1830,                حطوا خاصية  التحكم لتابعيين بصورهم
1831, السلام عليكم  امس اخذت الجرعه الثانية وما تحدثت الحالة بتوكلنا
1832," السلام عليكم
انا حاصل على جرعة واحدة بالمملكة هل يوجد لي حجر مؤسسي أنا موجود بمصر"
1833,                                                                               
1834,          للأسف خدمة سيئة تمكن من التلاعب و بيع التذاكر في السوق السوداء 👇🏼                        
1835,"             يكون معك تأمين صحي لكورونا
وفحص مسحة كورونا معتمد"
1836,            اخوي وش صار معك لان معي طفل امثر من   سنوات وراجع من الكويت وبروح للبحرين   
1837,              الافاده تقول ان استرازينكا جرعتين وانا بالفعل حصلت عليهم لكن الاشكالية بالنظام انهم م                         
1838," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
1839,"              صباحك صحة

يرجى الاطلاع على الرابط التالي للإفادة 
                          
مع تمني                         "
1840, كيف اللغي الحجز
1841, السلام هام جدا انا حجزت بالخطاء بكره وانا عمرتي اليوم
1842, وين مراكز تاكد في الخبر ؟؟؟
1843,                التطعيمتين اخذت من ايطاليا ميلانو
1844,                        ياليت أحد يفيدني أو يعطيني المعلومة الصح
1845,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1846,                اتمنى الرد على باقي الاستفسار؟
1847,           ممثلي وزارة الصحة حسب كلامهم يكون عن طريق توكلنا ، و على هذا الحال من أمس أكلم وزارة الص                         
1848,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1849,                جزاكم الله خيرا على سرعة الرد الاحترافي  في الدول التي ليست في المرحلة الاولى كيف ل                         
1850, الرجاء الرد
1851, للأسف الخدمة سيئة للغاية و الي كلمتهم حولوني على وزارة الصحة عشان تحديث الحالة الصحية
1852,                          تم التواصل معهم وتم افادتي مرتين بالتوجه لحساب وزارة الصحه على تويتر  للأ                         
1853,                      المفترض كل تذاكر تكون الالكترونيه و باركود و يكتب بالاسم و صورة صاحب التذكرة                         
1854,"
الرجاء الرد على الخاص"
1855,                      
1856,"           
            "
1857,          لا
1858,"              
السلام عليكم ورحمة الله وبركاته تم إعطاء اللقاح من باكستان وإرساله إلى وزارة الصحة ك                         "
1859, ويش الحل اذا الجوال فقد مع الرقم الذي مرتبط مع ابشر وتوكلنا
1860,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1861, الأخوة نرجو الرد على الخاص وشكرا
1862," السلام عليكم 
من امس احاول احجز موعد لقاح يجيني عذرا إيش المشكلة ؟"
1863,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1864,"                محصن والحمدلله النظام الأمني المتبع لازم تلبس الكمامه  وتحمل تطبيق توكلنا 
المخالفة                         "
1865, السلام عليكم ، حاولت احجز موعد جرعه ثانيه ويطلع ان لي موعد وانا ماحجزت موعد
1866, سلام عليكم لدي شغاله جديدة وخرجت قبل يوم من الحجر الصحي  هل تستطيع تاخذ اللقاح الان علما ان الى ال                         
1867,                                ارجو التأكيد لاتمام حجز الطيران لانهم يطلبو مني دفع قيمه حجر مؤسسي  والمحصن ليس له حجر 
1868,                                حتي ولو زائر
1869,                                الزائر المحصن جرعتين ومعه ما يثبت ذلك شهاده معتمده   ومتواجد بدوله                         
1870, عندي سوال وشهو رمز توكلنا الي ب التطبيق وش الفايده منه م فهمت
1871,                تواصلت معهم  بلا جدوا يقولون لي انهم ليسوا مسأولين عن هاذي الخدمه فمن المسؤل اذن                          
1872,                                                                                 
1873, ماهي الجهات المعنيه؟
1874, مرحبا ارجوا منكم الاطلاع على الرسائل الخاصة
1875,                        
1876,                        
1877, هلاااا انا اخدت اللقاح خارج السعوديه كيف اوثقه وارفعه علي توكلنا
1878, السلام عليكم     انا مقيم ومسافر باليمن واخذت الجرعات وسجلت في وزارة الصحة السعودية الجرعتين وجتني                         
1879, السلام عليكم     انا مقيم ومسافر باليمن واخذت الجرعات وسجلت في وزارة الصحة السعودية الجرعتين وجتني                         
1880,"            شكرا   سؤال اخير 
هل ينفع افتح تطبيق توكلنا بدون رقم جوالي لانه محظور"
1881, لو سمحت ممكن الرد خاص
1882," السلام عليكم ورحمة الله وبركاته 
تم تصعيد الأمر من وزارة الصحة إلى الجهة المختصة بعد توثيق اللقاح                         "
1883,                       مستثنى اقدر اسافر ورجع سعوظيه من غير حجر
1884,"
السلام عليكم ورحمة الله وبركاته
لدي عامل على مؤسسة واصدرت له خروج نهائي وغادر المملكة والان ارغب ف                         "
1885,            إذا شخص ضاعت شريحة جهازه و أخذ شريحه برقم جديد كيف يسجلها على حسابه بتوكلنا؟
1886, الرجاء النظر للخاص
1887,"
السلام عليكم
زوجتي أخذت جرعتين اللقاح داخل المملكه جرعة على الإقامة بتاريخ       وجرعه على رقم الح                         "
1888,"             



السلام عليكم ارجو حل المشكله المرفقه                        "
1889, انا خرجت من توكلنا عن طريق الخطا وعندي الجرعتين ومحصن ولان ادخل المعلومات يطلع ارجاء ادخال المعلومات بطريقة صحيحة
1890,                باقي ما وصلتني الرسالة الخاصة
1891, خاص لاهنت
1892, الحجر المنزلي في اليمن او بعد الدخول الى المملكه؟
1893, السلام عليكم تم اخذ مطعوم كورونا الجمعه الماضيه في مركز الجزيره بالرياض ولغاية الان لم تظهر الحاله في توكلنا محصن
1894, طيب لو اسوي الفحص قبل اجي للسعودية والنتيجه سلبيه هل فيه حجر لطفل عمره   سنوات ؟
1895,               السلام عليكم هل حلت المشكله
1896,          بسأل اذا جيت اسوي اسناد صورة الشخص الاخر والهويه ومعلوماته تطلع لي ؟
1897,                تواصلت مع وزارة الصحة يقولون البيانات عندهم تمام وارسلوها الى توكلنا
1898, السلام عليكم   تغيرت الحالة في توكلنا من محصن جرعة اولى الى غير محصن  علما اني اخذت الجرعتين 
1899, رجاء الرد على الخاص
1900,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1901, لكم كل الشكر والتقدير ابغي ارفع شهاده اللقاح ف مصر ع توكلنا ومسجل توكلنا ف السعوديه عشان اسافر
1902,"                                  متاح الان
 انجاز 
 مكتب العمل      الجوازات  تعديل مهنه  سائق خاص                         "
1903,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1904, جيت محد رد علي
1905,                                                                                             
1906,                       اتواصلت معاكم لمدة ٣ اسابيع وليس هناك استجابة رغم التصعيد المتكرر  للبلاغ و كل يوم نفس الرد 
1907, ليه ماتردوون 
1908,"

 كيف الطريقة اخذ اللقاح الان واعدل الموعد"
1909, انا اخذ جرعتين داخل المملكه    هل اقدر ادخل زوجتي زياره من خلال الحدود   
1910,مما اخر أخذ الجرعة الثانية، و سأضطر لإعادة أخذ اللقاحات بسبب التأخير من  و ردهم بأنه ليس هناك تواصل                         
1911,          السلام علبكم، نبارك لكم منصبكم الجديد وتمنياتنا لكم بالتوفيق أرجو افادتكم بأن قد تم رفع بلاغ في                         
1912, احاول احجز موعد يطلع لي نعتذر                        
1913, ابغى احجز موعد اللقاح الثاني ولا قدرت رفض معي
1914, ياليت تردون خاص ضروري الله يسعدكم
1915, الحمدلله تم إنهاء المشكله مشكورين على جهودكم
1916,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1917, اخي الكريم انا اعاني من مشكله في تطبيق توكلنه المشكله اكملت جرعات القاح ال اولى والثانيه لاكن لا ي                         
1918,            يا الغالي سجلنا لقاح وقالو مده خمس ايام وتجي لك موافقه انا لي حوالي ٩ايام وما وصلتني مو                         
1919, لجوال الذي يفقد خارج المملكة وعلى نفس الرقم توكلنا ويش الحل
1920,
1921,"
السلام عليكم ورحمه الله
زوجتي أخذت الجرعة الاولا وعطوها كرت بعدين أخذت الجرعة الثانيه عبر رقم الحد                         "
1922,                                              لدي وضع مماثل وقمت بالتواصل مع وزارة الصحة على ٩٣٧ وت                         
1923, تمام شكرا جزيلا
1924,                                                
1925, انا حصلت على الجرعه الاولى ولكن بالتطبيق الحاله غير محصن واتمنى تعديلها
1926, الرجاء الإطلاع على الرسائل الخاصة وشكرا
1927,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1928, السلام عليكم ،، شريت تذاكر للمباراة وما عرفت طريقة الربط و الاسناد في توكلنا ممكن تفيدوني
1929," 
السلام عليكم ورحمة الله 
ارجو المساعده بتطبيق توكلنا الحاله مكتوب بها غير محصن وانا اخذت الجرعه ا                         "
1930,                            ولا عليك أمر ممكن تفيدني بالطريقة اذا تقدر
1931,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1932,                هل اقدرافتح توكلناء في البريد الإلكتروني
1933,            نفس المشكله
1934, السلام عليكم ،، شريت تذاكر للمباراة وما عرفت طريقة الربط و الاسناد في توكلنا ممكن تفيدوني ولا عليكم امر
1935,                لدي مشكلة في تسجيل الدخول إلى حسابي الآن
1936, السلام عليكم ممكن تردون على الخاص
1937,"                             شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة ق                         "
1938, والله تم التواصل مع وزاره الصحه اكثر من مره وبلغوني ان المشكله عند توكلنا   وانا مقتنع بكلامك ولاك                         
1939,                         عندي مشكله في تسجيل تطعيم الزوجه و محصنه بمصر جرعتين                
1940,                                       
1941,                                       
1942,"                                    
           ❤️"
1943,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1944," 

استقدمت عاملة ، ودخلت السعودية حيث ان لديها تطعيمتين لقاح معتمد ، وعند اصدار اقامة لها أتفاجأ ان                         "
1945, طيب انا زائر من السودان وليس مقيم في المملكة ونحن اثنين ونمتلك رقم واحد هل الرقم الواحد يمكن ان نس                         
1946,"                            متاح الان
 انجاز 
 مكتب العمل      الجوازات  تعديل مهنه  سائق خاص  
 وا                         "
1947, السلام عليكم ارجو الرد                
1948, يعطيكم العافية عزالله انكم ما قصرتوا
1949, السلام عليكم
1950, لم يتم حل المشكله
1951, السلام عليكم عندي الوالد والوالدة وزارة الصحة حاجزه لهم موعد وراح الوقت علينا الان نبي نعدل الموعد ما يضبط ياليت تفيدوني
1952,                             تمام
1953, اواجه مشكله في تسجيل الدخول للتطبيق ، عفوا لايمكن خدمة صاحب الهوية المدخله 
1954," 
السلام عليكم ، انا اخذت الجرعه الثانيه قبل شهرين ، الجرعه الاولى في مكة والثانيه في جدة اخذتها ،                         "
1955,"
السلام عليكم
زوجتي أخذت جرعتين اللقاح داخل المملكه جرعة على الإقامة بتاريخ          وجرعه على رقم                         "
1956,"بعد عدم الرد واتخاذ اي اجراء والنظر الي بلاغاتي 
قررت اخد جرعه تالته وحجزت موعد 
فهل هناك اشكاليه لو اخدت تلات جرعا                         "
1957,                                                    ممكن الافاده وين القى اكسفورد في الرياض؟ انا حا                         
1958, انا محصن جرعتين ومن يومين طالع لي في توكلنا اني ماخذ جرعه واحده شلون يعني؟
1959,"                  نفس المشكلة لدى السائق 
طيب كيف يثبت أنه محصن لدى الوصول؟"
1960, فتح حساب توكلنا للعاملة الجديدة برقم الحدود ماهي الطريقة
1961,"                          وعليكم السلام ورحمة الله وبركاته 
مساءك صحة  
نحن في مركز اتصال الصحة                             "
1962, عزيزي تواصلت مع  وزارة الصحة على الرقم الموحد            و أفدتهم ان يرسلوا اخر سجل صحي الى                         
1963, هي كانت في توكلنا محصن    والان تغيرت الي محصن لماذا؟؟؟؟؟؟
1964, الحالة الصحية في توكلنا غير محصن ، وش معناها ؟
1965,                  الرجو الرد بالخاص
1966, تواصلت معاهم اكثر من مره و يقولون نطري ٥ ايام و يمكن اكثر و انا بس ابي اطلع لشغلي و اهلي برا
1967,                             ردو علي ضروري الاتصال مافاد والايميل محد يرد احتاج اخذ جرعه ثانيه من ا                         
1968,                تم اعتماد التطعيمات وتواصلنا مع الصحة و توكلنا ولم نتوصل الى نتيجة حاليا  الصحة تقو                         
1969," بالنسبة للأطفال اكبر
من ٨ سنوات هل يجب عمل مسحة بعد الوصول إلى المملكة؟"
1970,                السلام عليكم شريت تذاكر مباراة الهلال في اسيا وابي اربطها بتوكلنا بحكم انه شي الزام                         
1971,          ارسلت لكم من اكثر من نصف ساعه وبانتظار ردكم 🙏
1972,        🙏
1973,                الله يعطيك العافيه
1974, ابي احدث رقم الجوال ماقدرت سجلت خروج وماعاد قدرت ارجع ؟؟ ابي حل بسرعه تكفون
1975,                                                                           
1976,"                             

يالصحة توكلنا يقولون المشكلة عندكم 
نبغى حل للموضوع"
1977,"                        اهلاً بك،
نشكر لك أهتمامك، ويسعد الزملاء في ⁦⁩ التعامل مع اقتراحك 
شكراً لتواصلك"
1978, الرجاء الرد للضرورة لم يتم أخذ المعلومات و لا حل المشكلة
1979, ردو خاص بليز 🙋🏻‍♀️
1980," السلام عليكم
كيف الطريقة لحجز موعد اخذ اللقاح للزيارة العائلية"
1981,           استفسار لو سمحتوا المراكز اللي تعطي لقاح كورونا بالرياض وين مواقعهم ؟
1982, السلام عليكم اناخارج المملكة بقالي ٦شهوروتوكلنا مش شغال الرقم الرقم الي عليها مو شغال كيف الحل
1983,                لو سمحت انا دخلت كمستخدم جديد و تحولت الحاله الي غير محصن؟ مع اني كنت برقم الحدود محصن جرعتين؟
1984, الله يعطيكم العافيه سبق وكلمتهم يقولون هذي المشكله من برنامج توكلنا علي حسب ما يقولون انها اذا ظهر                         
1985," السلام عليكم
الرجاء المساعده فاني اظهر محصن كامل بتوكلنا لكن ما بقدر اسوي تصريح للعمرة و الزيارة ، شاكرين حسن تعاونكم "
1986, تواصلت مع  وزارة الصحة على هذا الرقم قالوا لي بما ان الجرعات واضحة في الجواز الصحي ف المشكلة عن طر                         
1987, أرجو التعليق على صاحب هذا الحساب هل هو نظامي ام لا                         
1988,                      لدي شخص محصن جرعتين اكمل الجرعات في ٢٦ ١ ٢٠٢١ والحالة في توكلنا غير محصن الى                         
1989, السلام عليكم انا مصاب حاليا متى تظهر محصن معافى بعد الاصابه بكم يوم؟؟
1990, الرجاء الرد على الخاص للضرورة
1991, كيف اقدر أسند طفلي الثاني بتذاكر موسم الرياض أضفت واحد وثاني ما عرفت
1992,          كيف رمز توكلنا م فهمت 
1993,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1994,"                أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترازات  كور "
1995,"أخي المواطن والمقيم  

 الحل بيديك والقرار في صحتك وفسحتك يعود إليك    لتستمتع بالحياة ورفع القيود السابقة عن احترا                         "
1996, السلام عليكم ، عندي اخي زائر في المملكة ، وهو متطعم بجرعتين ونزلت في التطبيق جرعة واحدة حتى الان ،                         
1997,          السلام عليكم    لو سمحتوا ابغى رد لنفس استفسار الاخت عندي عاملة منزلية فلبينية قادمة وماب                         
1998,                                   أهلًا بك، يرجى التواصل مع الزملاء                  لإفادتك  سعدنا بتواصلك
1999, لكن هو بالخارج الآن لايمكنه الحصول على شريحة رقم سعودي وهو بالخارج    هل يمكنه دخول السعودية من غي                         
2000," أنا الآن خارج المملكة وأخذت التطعيم وأحاول التسجيل في بوابة مقيم لإضافة البيانات

المشكلة أنه لا ي                         "
2001,"            متاح الان
 انجاز 
 مكتب العمل      الجوازات  تعديل مهنه  سائق خاص  
 والغاء هروب  مهني                         "
2002, السلام عليكم حضرتك تطبيق صحتى ما بيفتح معى فى مصر
2003,                      لدي شخص محصن جرعتين اكمل الجرعات في ٢٦ ١ ٢٠٢١ والحالة في توكلنا غير محصن الى                         
2004,"                            
السلام عليكم ورحمه الله وبركاته لم يتم تحديث بيانات الجواز الصحي مكتوب                         "
2005,                                                                                                                            
2006,                                                                                                                            
2007, تطلبنا تحديث ورفعنا بلاغ وخلينا يكتبون انه اغراضنا كلها هناك ومافي اي استجابه ولا مساعده للاسف
2008,                        نفس المشكله
2009, اي رد تردون علي بدون اي مساعده بحالتي
2010, السلام عليكم ورحمة الله وبركاته عندي مشكلة في تفعيل الهوية الرقمية وقالو ابشر اتواصل مع توكلنا                        
2011," أحاول التسجيل في توكلنا وأنا مقيم  ولكنني خارج المملكة الآن ورحلتي إلى غدا 
ولا أستطيع التسجيل لأن                         "
2012," شاكر لكم علي سرعه الرد 
مع العلم بالفعل تم التواصل اكثر من ١٠ مرات واكثر من ٧ شكاوي ولم يتم حل مشك                         "
2013,                شكراً جزيلاً ، اتمنى في الأيام المقبلة يسمح لنا بزيارة مملكتنا الحبيبة ، اشتقنا لها ولمواسمها الجميلة    
2014,"                                      مساءك صحة  
نعتذر لذلك ونؤكّد لكم أن ملاحظاتكم محل اهتمامنا و                         "
2015," 
السلام عليكم انا مقيم وواخد جرعه اولي في مصر ودخلت السعوديه اخت الجرعه الثانيه  والان محصن جرعه ا                         "
2016,                تم رفضها من قبل دائرة المرور اخي الكريم ، لكن كنت احتاج توجيه من قبلكم انها رسمية ل                         
2017, يعطيكم العافيه شغلكم عالٍ العال 👍🏼💙
2018," السلام عليكم انا حجزت في اعتمرنا تصريح عمره من           
ف وقت الحظور      يعني العمره ساعه ولا ش                         "
2019,                انا مقيم مش مواطن ارجو تأكيد المعلومه
2020, نسجل كمواطن سعودي مايوصل المسج حق التاكد من الرقم ومااتتم عمليه التسجيل
2021," 

عندي تذاكر لفتتاح موسم الرياض وفيه ايقونه اسمها   اسناد  وش معناها بالضبط ؟"
2022, شوفو الخاص لو سمحت
2023,                بطاقه الرخصه والهويه تظهر لكن الاستماره ماتفتح وش الحل ؟
2024,                        
2025,                لو سمحت شوفو الخاص عندي نفس المشكله
2026, وزارة الصحه تواصلت معي وقالت توكلنا هم يحلون مشكله الجواز
2027, افتحوا الخاص
2028, السلام عليكم ، أنا كملت اسبوعين ورفض يحجز موعد يقول لازم اسبوع زيادة هل فيه إمكانية لتقديم اللقاح                         
2029,            انحلت عندك المشكلة وش سببها طلع عندي نفس الشي؟؟
2030,                                                                            
2031, ماتردون طيب عالخاص
2032, ممكن الرد ع الخاص ضروري
2033, شكرا لكم
2034, عندي اشكاله في الجواز الصحي ، ادخال بيانات التحصين بشكل غلط ارجو حل المشكله ، وزارة الصحه تقول حل المشكله في تطبيق توكلنا
2035,        ردوو
2036,                               ردو خاص الله يعافيكم
2037,                تم الاتصال ع وزارة الصحه وقالو انتظر رفعنا بها تقرير الى توكلنا
2038, الحالة خاطئة عندي في توكلنا تم التواصل خاص  آمل الرد 
2039,                                                           ??
2040,                               هل يمكنني تعريف رقم خارجي؟ يوجد مقيم يود التسجيل في توكلنا ولم نستطع                         
2041, السواق الخاص الجديد الي توه داخل المملكه ماكمل يومين ولا طلعت اقامه شلون اسوي له توكلنا
2042, لو سمحت انا زائر محصن وصلت اليوم الساعه١٢ص وحملت تطبيق توكلنا وظهرت الحاله محصن اكمل الجرعات ولكن                         
2043, بارك الله فيكم وجزاكم خيرا
2044, تم التواصل مع صحتي و وجهني اليكم
2045,"            وماذا عن المساجد بالنسبة للكمامة والتباعد ؟ 
الأماكن المفتوحة   الأماكن المغلقة
                                        "
2046, ما قصرتوا 🙏🏼
2047,               اخوي انا جتني الموافقة باعتماد اللقاح من خارج المملكة لكن لم يظهر في توكلنا محصن جرع                         
2048, يعني اغير الرقم السابق لرقم جديد؟ طيب ما اقدر ارجع بنفس الرقم القديم؟ لأنه مو مستخدم لاي حساب اخر بس حسابي انا
2049,                                         
2050,                  أواجه نفس المشكلة أثناء تسجيل الدخول  أتلقى كلمة المرور لمرة واحدة ولكني أحصل على                         
2051, السلام عليكم   يتعثر عليا استعاده حسابي في توكلنا حيث وانا اكملت جرعات اللقاح وأخذت جوال جديد فرفض التسجيل
2052,"
استفسار بخصوص المتطعمين ب فايزر من الخارج وتحديث الحالة على التطبيق
تم التواصل على الخاص، يرجى الرد"
2053, انا بعت ع الخاص محدش بيرد عليه
2054, هو ليس لديه إقامه في السعوديه وسيكون قدومه بتأشيرة زيارة عمل علماً أنه أكمل الجرعتين في الامارات م                         
